x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,P. K. Vasudevan Nair,6200,"286,057",37.6%,Communist Party Of India, AC View
2,2,V S Sivakumar,6200,"231,454",30.4%,Indian National Congress, AC View
3,3,O Rajagopal,5600,"228,052",29.9%,Bharatiya Janta Party, AC View
4,4,Adv K S Rajmohan,200,"3,831",0.5%,Bahujan Samaj Party, AC View
5,5,Adv G Muraleedharan Nadar,200,"3,037",0.4%,Independent, AC View
6,6,Selvaraj,200,"2,480",0.3%,Independent, AC View
7,7,V S Gireesh Kumar,200,"2,158",0.3%,All Kerala M.G.R. Dravida Munnetra Party, AC View
8,8,Adv B K Rajagopal,200,"1,558",0.2%,Independent, AC View
9,9,Babington,200,"1,350",0.2%,Independent, AC View
10,10,Cherian V T,200,"1,122",0.1%,Independent, AC View
11,11,Francis Albert,200,873,0.1%,Independent, AC View
12,12,Adv V Pratap Singh,200,617,0.1%,Independent, AC View
13,13,T C Balakrishnan Nair,200,534,0.1%,Independent, AC View
14,14,Adv I Justus Nadar,200,382,0.1%,Independent, AC View
15,15,Noushad,200,324,0.0%,Independent, AC View
