x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Harischandra Devram Chavan,298823,"218,259",37.0%,Bharatiya Janta Party, AC View
2,2,Mahale Haribhau Shankar,298823,"213,731",36.2%,Janata Dal (Secular), AC View
3,3,Gavit Jiva Pandu,802,"113,436",19.2%,Communist Party Of India (MARXIST), AC View
4,4,Gazi Amanulla Mubin Khan,147,"18,940",3.2%,Bahujan Samaj Party, AC View
5,5,Bhika Harisingh Barde,139,"14,426",2.4%,Independent, AC View
6,6,Gazi Atejaad Ah. Khan Mubin Ahmed Khan,130,"11,980",2.0%,National Loktantrik Party, AC View
