x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dip Gogoi,4200,"301,893",39.5%,Indian National Congress, AC View
2,2,Keshab Mahanta,4200,"234,695",30.7%,Asom Gana Parisad, AC View
3,3,Rashidul Haque,600,"125,966",16.5%,Janata Dal (United), AC View
4,4,Jiten Gogoi,200,"30,810",4.0%,Independent, AC View
5,5,Binod Gogoi,200,"20,280",2.7%,Independent, AC View
6,6,Anil Choudhury,200,"18,966",2.5%,Lok Jan Shakti Party, AC View
7,7,Bikash Tanti,200,"10,012",1.3%,Independent, AC View
8,8,Ataur Rahman,200,"7,592",1.0%,Samata Party, AC View
9,9,Juren Rajkhowa,200,"4,947",0.6%,Independent, AC View
10,10,Jitu Sarmah,200,"4,141",0.5%,Independent, AC View
11,11,Dimbeswar Bora,200,"3,781",0.5%,Samajwadi Party, AC View
