x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Jai Prakash,416549,"148,578",26.0%,Samajwadi Party, AC View
2,2,Radhe Lal,416549,"146,010",25.5%,Bahujan Samaj Party, AC View
3,3,Mast Ram,7614,"115,989",20.3%,Bharatiya Janta Party, AC View
4,4,Reena Choudhary,3861,"103,927",18.2%,Indian National Congress, AC View
5,5,Kaushal Kishore,362,"28,757",5.0%,Rashtravadi Communist Party, AC View
6,6,Radhe Shyam,239,"12,807",2.2%,Independent, AC View
7,7,Archana,185,"5,044",0.9%,Apna Dal, AC View
8,8,Babu Lal,185,"4,654",0.8%,Independent, AC View
9,9,Chhavi Nath,185,"3,574",0.6%,Independent, AC View
10,10,Reena Choudhary D/o Kallo Choudhary,166,"2,539",0.4%,Manuvadi Party, AC View
