x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Seth Lakshman Chandra,11165,"507,228",49.2%,Communist Party Of India (MARXIST), AC View
2,2,Adhikari Suvendu,11165,"449,848",43.6%,All India Trinamool Congress, AC View
3,3,Sudarsan Panja,98,"34,794",3.4%,Indian National Congress, AC View
4,4,Ajit Das,86,"14,087",1.4%,Bahujan Samaj Party, AC View
5,5,Manab Bera,86,"13,339",1.3%,Independent, AC View
6,6,Hossain Mahmud Shaikh,76,"6,239",0.6%,Independent, AC View
7,7,Trilochan Kuila,76,"6,082",0.6%,Samajwadi Party, AC View
8,8,Bhakti Adhikary,76,"3,652",0.4%,Independent, AC View
