x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Vasava Mansukhbhai Dhanjibhai,2759,"299,630",44.0%,Bharatiya Janta Party, AC View
2,2,Patel  Muhammad Fansiwala,2759,"227,428",33.4%,Indian National Congress, AC View
3,3,Vasava Chhotubhai Amarsinh,332,"111,600",16.4%,Janata Dal (United), AC View
4,4,Vasava Sureshbhai Gordhanbhai,112,"22,365",3.3%,Independent, AC View
5,5,Patel Jineshbhai Ramanbhai,96,"9,986",1.5%,Independent, AC View
6,6,Saiyad Faimuddin Hamiduddin,96,"9,786",1.4%,Bahujan Samaj Party, AC View
