x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Md. Ali Ashraf Fatmi,906,"427,672",56.0%,Rashtriya Janata Dal, AC View
2,2,Kirti Azad,906,"284,209",37.2%,Bharatiya Janta Party, AC View
3,3,Safi Ahmad,72,"13,546",1.8%,Independent, AC View
4,4,Baidya Nath Yadav,72,"13,443",1.8%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
5,5,Kamal Narayan Sahu,65,"7,583",1.0%,Bahujan Samaj Party, AC View
6,6,Md. Safi Alam,65,"7,534",1.0%,Independent, AC View
7,7,Mithilesh Kumar Yadav,65,"3,620",0.5%,Samajwadi Party, AC View
8,8,Ram Swarath Safi,65,"3,105",0.4%,Independent, AC View
9,9,Jhari Lal Das,65,"1,945",0.3%,Independent, AC View
