x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ganesh Prasad Singh,12200,"400,063",46.3%,Rashtriya Janata Dal, AC View
2,2,Arun Kumar,12200,"353,625",40.9%,Janata Dal (United), AC View
3,3,Mahanand Prasad,200,"77,743",9.0%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
4,4,Naushad Ahmad,200,"15,672",1.8%,Bahujan Samaj Party, AC View
5,5,Ramashray Prasad Singh,200,"5,341",0.6%,Sampurna Vikas Dal, AC View
6,6,Tapsi Singh,200,"2,014",0.2%,Independent, AC View
7,7,Sadhu Sinha,200,"1,932",0.2%,Independent, AC View
8,8,Ram Singhasan Singh,200,"1,596",0.2%,Apna Dal, AC View
9,9,Ajay Kumar Bhadani,200,"1,576",0.2%,Independent, AC View
10,10,Jagya Nand Singh,200,"1,144",0.1%,Independent, AC View
11,11,Satyendra Prasad Yadav,200,"1,079",0.1%,Independent, AC View
12,12,Chandrashekhar Singh Alias Chandrashekhar Prasad Yadav,200,813,0.1%,Independent, AC View
13,13,Sheo Pujan Singh,200,725,0.1%,Jharkhand Party, AC View
14,14,Atendra Singh,200,520,0.1%,Independent, AC View
