x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dr. Ramlakhan Singh,192940,"234,712",38.7%,Bharatiya Janta Party, AC View
2,2,Satyadev Katare,192940,"227,766",37.6%,Indian National Congress, AC View
3,3,Phoolsingh Baraiya,277,"59,679",9.8%,Samata Samaj Party, AC View
4,4,Ramsingh Dhakre,215,"43,822",7.2%,Bahujan Samaj Party, AC View
5,5,Narendra Singh Bhadoria ( DADDY),145,"17,943",3.0%,Samajwadi Party, AC View
6,6,Lt. Colonel ( RETIRED) SHIVNATH SINGH,106,"4,287",0.7%,Independent, AC View
7,7,Shambhoodayal Baghel Advocate,106,"4,264",0.7%,Loktantrik Samajwadi Party, AC View
8,8,Ashok Kumar Jatav,106,"3,183",0.5%,National Loktantrik Party, AC View
9,9,Shantosh Singh,106,"2,482",0.4%,Independent, AC View
10,10,Dr. Ramkumar Tripathi ( SEETI),106,"1,830",0.3%,Independent, AC View
11,11,Manoj Singh,106,"1,679",0.3%,Independent, AC View
12,12,Pradeep,106,"1,561",0.3%,Independent, AC View
13,13,Chaudhari Arun Kumar,106,"1,149",0.2%,Independent, AC View
14,14,Narendra Singh,106,"1,102",0.2%,Independent, AC View
15,15,"Ashok "" Sharma""",106,899,0.1%,Independent, AC View
