x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kondapalli Pydithalli Naidu,18724,"373,922",50.2%,Telugu Desam, AC View
2,2,Jhansi Laxmi Botcha,18724,"342,574",46.0%,Indian National Congress, AC View
3,3,Peddinti Jaganmohan Rao,80,"16,098",2.2%,Independent, AC View
4,4,G.Venkatesh,80,"14,131",1.9%,Telangana Rashtra Samithi, AC View
