x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dhirendra Agarwal,14600,"121,464",27.9%,Rashtriya Janata Dal, AC View
2,2,Inder Singh Namdhari,14600,"102,609",23.6%,Janata Dal (United), AC View
3,3,Nagmani,10800,"99,662",22.9%,Bharatiya Janta Party, AC View
4,4,Ramlal Oraon,1000,"51,917",11.9%,Independent, AC View
5,5,Suresh Yadav,400,"14,317",3.3%,Samajwadi Party, AC View
6,6,Rampati Ranjan,400,"11,201",2.6%,Bahujan Samaj Party, AC View
7,7,Dr. Sita Ram Singh,400,"8,918",2.0%,Independent, AC View
8,8,Birju Ram,400,"8,631",2.0%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
9,9,Raj Kumar Sharma,200,"4,098",0.9%,Independent, AC View
10,10,Muneshwar Singh,200,"2,821",0.6%,Independent, AC View
11,11,Abid Ali,200,"2,544",0.6%,Independent, AC View
12,12,Bharat Prasad Singh,200,"1,710",0.4%,Independent, AC View
13,13,Binod Bihari,200,"1,496",0.3%,Independent, AC View
14,14,Awadh Kishore Singh,200,"1,461",0.3%,Independent, AC View
15,15,Bindhyachal Singh,200,"1,435",0.3%,Independent, AC View
16,16,Chamari Ram,200,"1,220",0.3%,Independent, AC View
