x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Y. G. Mahajan (SIR),29872,"298,865",48.5%,Bharatiya Janta Party, AC View
2,2,Dr. Ulhas Vasudeo Patil,29872,"278,219",45.2%,Indian National Congress, AC View
3,3,Gawai Ravindra Tulshiram,93,"16,785",2.7%,Bahujan Samaj Party, AC View
4,4,D. D. Wani Photographer,85,"12,254",2.0%,Independent, AC View
5,5,Dadaso. P. E. Tatya Patil,77,"7,682",1.2%,Samajwadi Party, AC View
6,6,Dagadu Kitab Tadavi,77,"3,164",0.5%,Independent, AC View
