x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Alakesh Das,369864,"560,176",47.8%,Communist Party Of India (MARXIST), AC View
2,2,Nilima Nag ( Mallick),369864,"550,185",47.0%,All India Trinamool Congress, AC View
3,3,Howladar Nripendra Nath,89,"24,268",2.1%,Indian National Congress, AC View
4,4,Satish Biswas,89,"15,719",1.3%,Bahujan Samaj Party, AC View
5,5,Basu Dev Bachhar,80,"11,139",1.0%,Independent, AC View
6,6,Parimal Dhali,80,"8,318",0.7%,Independent, AC View
7,7,Gopal Biswas,80,"3,710",0.3%,Independent, AC View
8,8,Paramesh Chandra Biswas,80,"2,219",0.2%,Independent, AC View
9,9,Amitosh Biswas,80,"2,037",0.2%,Independent, AC View
