x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mohan Singh,5595,"237,664",32.5%,Samajwadi Party, AC View
2,2,Sriprakash Mani,5595,"185,438",25.4%,Bharatiya Janta Party, AC View
3,3,Devi Prasad,1213,"132,497",18.1%,Bahujan Samaj Party, AC View
4,4,Ramashish Rai,710,"105,188",14.4%,Indian National Congress, AC View
5,5,Chandrika Prasad,203,"26,161",3.6%,Apna Dal, AC View
6,6,Haroon,157,"11,158",1.5%,National Loktantrik Party, AC View
7,7,Ram Bhajan,157,"10,498",1.4%,Independent, AC View
8,8,Suresh,145,"9,200",1.3%,Suheldev Bhartiya Samaj Party, AC View
9,9,Kadam Prasad,129,"3,798",0.5%,Independent, AC View
10,10,Mohan,129,"3,529",0.5%,Independent, AC View
11,11,Vijay,129,"2,343",0.3%,Jharkhand Party, AC View
12,12,Nand Lal Yadav,129,"2,314",0.3%,Indian Justice Party, AC View
