x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ambareesh M. H.,1450,"411,116",48.0%,Indian National Congress, AC View
2,2,Dr. S Ramegowda,1450,"286,678",33.5%,Janata Dal (Secular), AC View
3,3,Dr. K S Jayaram,178,"98,260",11.5%,Janata Dal (United), AC View
4,4,B T Srinivasagowda,99,"33,014",3.9%,Kannada Nadu Party, AC View
5,5,Ravikeerti C,99,"28,496",3.3%,Bahujan Samaj Party, AC View
