x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kunwar Sarvraj Singh,140229,"153,322",28.6%,Janata Dal (United), AC View
2,2,Rajveer Singh,140229,"146,451",27.3%,Samajwadi Party, AC View
3,3,Sudhir Kumar Maurya,61893,"142,198",26.5%,Bahujan Samaj Party, AC View
4,4,Alauddeen Khan,497,"47,973",8.9%,Indian National Congress, AC View
5,5,Jai Pal Singh,235,"17,379",3.2%,Independent, AC View
6,6,Nanhe Lal,193,"8,656",1.6%,Nationalist Congress Party, AC View
7,7,Maharaj Singh,182,"7,132",1.3%,Independent, AC View
8,8,Anil Kumar,168,"4,152",0.8%,Independent, AC View
9,9,Vinod Kumar,151,"2,901",0.5%,Ambedkar Samaj Party, AC View
10,10,Shyam Singh,151,"2,563",0.5%,Rashtriya Krantikari Samajwadi Party, AC View
11,11,Kunwar Sen,151,"1,937",0.4%,Independent, AC View
12,12,Kalawati,151,"1,794",0.3%,Independent, AC View
