x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Maj. Gen. ( RETD) BHUWAN CHANDRA KHANDURI (AVSM),3400,"257,726",51.6%,Bharatiya Janta Party, AC View
2,2,"Lt. General ( RETD.) TEJ PAL SINGH RAWAT  (PVSM,VSM)",3400,"206,764",41.4%,Indian National Congress, AC View
3,3,Professor Birendra Singh Semwal,200,"10,410",2.1%,Bahujan Samaj Party, AC View
4,4,Sanjay Goyal,200,"7,645",1.5%,Independent, AC View
5,5,Mahesh Negi,200,"6,415",1.3%,Samajwadi Party, AC View
6,6,Ram Dayal,200,"5,138",1.0%,Independent, AC View
7,7,Vijai Rawat,200,"4,360",0.9%,Communist Party Of India (MARXIST), AC View
8,8,Virendra Singh ' Ghavari',200,"2,840",0.6%,Independent, AC View
9,9,Devendra Bahuguna,200,"1,942",0.4%,Rashtriya Lok Dal, AC View
