x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Varma Ratilal Kalidas,17400,"249,322",48.3%,Bharatiya Janta Party, AC View
2,2,Yogendrakumar Mavjibhai Makwana,17400,"226,528",43.9%,Indian National Congress, AC View
3,3,Chavda Manilal Ramjibhai,200,"11,638",2.3%,Bahujan Samaj Party, AC View
4,4,Soyantar Dineshkumar Kalidas (ADVOCATE),200,"11,627",2.3%,Independent, AC View
5,5,Parmar Chhabildas Keshavlal,200,"7,142",1.4%,Lok Jan Shakti Party, AC View
6,6,Jayaben Maganbhai Ranva,200,"5,681",1.1%,Independent, AC View
7,7,Chauhan Jitendrakumar Naranbhai,200,"4,615",0.9%,Independent, AC View
