x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sartaj Singh,687,"354,659",56.0%,Bharatiya Janta Party, AC View
2,2,Omprakash Hajarilal Raghuvanshi Banapura,687,"218,250",34.4%,Indian National Congress, AC View
3,3,"Omprakash Radheshyam Raghuvanshi, Bankabedi",72,"14,848",2.3%,Independent, AC View
4,4,Rajendra Raghuvanshi,72,"11,753",1.9%,Bahujan Samaj Party, AC View
5,5,Brajlal Dhurve,65,"8,576",1.4%,Gondvana Gantantra Party, AC View
6,6,Bhai Sunil,65,"8,289",1.3%,Samajwadi Jan Parishad, AC View
7,7,Premshankar Patel ( CHHOTE BHAIYA),65,"7,351",1.2%,Lok Jan Shakti Party, AC View
8,8,Padmini Yadav Madhusudansingh Yadav,65,"7,101",1.1%,Samajwadi Party, AC View
9,9,Er. Lalit Gaur,65,"3,516",0.6%,Apna Dal, AC View
