x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,K.H. Muniyappa,180400,"385,582",42.5%,Indian National Congress, AC View
2,2,Veeraiah D S,180400,"373,947",41.2%,Bharatiya Janta Party, AC View
3,3,Gangadharappa S L,400,"83,433",9.2%,Janata Dal (Secular), AC View
4,4,Balaji Channaiah,200,"27,704",3.1%,Jharkhand Party, AC View
5,5,Sreenivasappa B N,200,"22,047",2.4%,Independent, AC View
6,6,Srinivasa,200,"7,202",0.8%,Independent, AC View
7,7,Ravi Kumar M,200,"4,693",0.5%,Independent, AC View
8,8,Suresha N,200,"4,656",0.5%,Kannada Nadu Party, AC View
