x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Charanjit Singh Atwal,1633,"324,512",44.9%,Shiromani Akali Dal, AC View
2,2,Santosh Chowdhary,1633,"225,628",31.2%,Indian National Congress, AC View
3,3,Pawan Kumar Tinu,517,"157,637",21.8%,Bahujan Samaj Party, AC View
4,4,Hans Raj Pabwan,85,"7,103",1.0%,Independent, AC View
5,5,Harbhajan Lakha,85,"3,139",0.4%,Samata Samaj Party, AC View
6,6,Harbans Singh Dhaliwal,85,"2,380",0.3%,Independent, AC View
7,7,Jagir Singh Safri,85,"2,138",0.3%,Bharatiya Gaon Taj Dal, AC View
