x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Bhupinder Singh,800,"324,235",49.0%,Indian National Congress, AC View
2,2,Abhimanyu,800,"173,800",26.3%,Bharatiya Janta Party, AC View
3,3,Bhim Singh,400,"105,640",16.0%,Indian National Lok Dal, AC View
4,4,Geeta,200,"24,228",3.7%,Bahujan Samaj Party, AC View
5,5,Usha,200,"10,334",1.6%,Haryana Vikas Party, AC View
6,6,Ajay Singh,200,"2,637",0.4%,All India Forward Bloc, AC View
7,7,Jaipal,200,"2,575",0.4%,Independent, AC View
8,8,Radhe Shyam,200,"2,095",0.3%,Independent, AC View
9,9,Nafe,200,"2,033",0.3%,Independent, AC View
10,10,Anoop Singh Matanhail,200,"1,984",0.3%,Independent, AC View
11,11,Ranvir Singh,200,"1,956",0.3%,Independent, AC View
12,12,Bharpur,200,"1,849",0.3%,Rashtriya Lok Dal, AC View
13,13,Shishpal,200,"1,291",0.2%,Samata Party, AC View
14,14,Ramphal,200,976,0.1%,Independent, AC View
15,15,Karan Singh,200,959,0.1%,Independent, AC View
16,16,Ajay Kumar,200,949,0.1%,Independent, AC View
17,17,Hari Singh,200,938,0.1%,Independent, AC View
18,18,Kuldeep Singh,200,857,0.1%,Independent, AC View
19,19,Bimla,200,585,0.1%,Bharatiya Republican Paksha, AC View
20,20,Satender,200,466,0.1%,Independent, AC View
21,21,Anoop Singh,200,460,0.1%,Rashtriya Vikas Party, AC View
22,22,Mukhtiar Singh,200,419,0.1%,Independent, AC View
23,23,Sajjan Singh,200,404,0.1%,Independent, AC View
24,24,Jaimal,200,379,0.1%,Rashtriya Sakar Party, AC View
