x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mani Charenamei,1600,"229,634",37.1%,Independent, AC View
2,2,D. Loli Adanee,1600,"147,441",23.8%,Bharatiya Janta Party, AC View
3,3,Holkhomang Haokip,800,"107,435",17.4%,Nationalist Congress Party, AC View
4,4,Kim Gangte,400,"77,055",12.4%,Mahabharat Peples Party, AC View
5,5,Rosangzuala,200,"37,455",6.1%,Janata Dal (United), AC View
6,6,W. Morung Makunga,200,"20,131",3.3%,All India Trinamool Congress, AC View
