x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Tathagata Satapathy,1400,"423,539",53.6%,Biju Janata Dal, AC View
2,2,Kamakhya Prasad Singhdeo,1400,"300,657",38.0%,Indian National Congress, AC View
3,3,Bhajaman Behera,200,"32,679",4.1%,Samajwadi Party, AC View
4,4,Dibya Kishore Das,200,"18,850",2.4%,Independent, AC View
5,5,Benudhar Behera,200,"14,642",1.9%,Republican Party Of India, AC View
