x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ganesan. L,346,"450,907",63.7%,Marumalarchi Dravida Munnetra Kazhagam, AC View
2,2,Paranjothi. M,346,"234,182",33.1%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Ravi. P,55,"7,831",1.1%,Independent, AC View
4,4,Ramesh. M,55,"4,418",0.6%,Bahujan Samaj Party, AC View
5,5,Pilantinal Mary. A,55,"2,342",0.3%,Independent, AC View
6,6,Hemavathy. V,55,"1,862",0.3%,Jharkhand Party, AC View
7,7,Balakrishnan. M. D.,55,"1,378",0.2%,Independent, AC View
8,8,Angusamy. N,55,"1,101",0.2%,Independent, AC View
9,9,Arumugam. P,55,844,0.1%,Independent, AC View
10,10,Thiyagarajan. A,55,824,0.1%,Independent, AC View
11,11,Ajimudeen. G,55,711,0.1%,Independent, AC View
12,12,Sathakathulla Moulana. N. M.,55,623,0.1%,Independent, AC View
13,13,Arumugam. C,55,594,0.1%,Independent, AC View
14,14,Arumugam. K,55,520,0.1%,Independent, AC View
