x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Janardhana Reddy Nedurumalli,2000,"524,122",54.3%,Indian National Congress, AC View
2,2,Dr.M.V.V.S.Murthy,2000,"393,551",40.8%,Telugu Desam, AC View
3,3,Kolaventi Sundara Rao,200,"16,673",1.7%,Bahujan Samaj Party, AC View
4,4,Bharanikana Rama Rao,200,"11,002",1.1%,Independent, AC View
5,5,Mandem Subhash Chandra Bose Yadav,200,"5,685",0.6%,Samajwadi Party, AC View
6,6,Satyanarayana Machiraju,200,"5,602",0.6%,Independent, AC View
7,7,Vamsi Kiran.B,200,"2,920",0.3%,Pyramid Party Of India, AC View
8,8,S.V.B.Reddy,200,"2,358",0.2%,Independent, AC View
9,9,Mamidi Somunaidu,200,"2,018",0.2%,Rashtriya Janata Dal, AC View
10,10,Apparao Gudivada,200,"1,809",0.2%,Independent, AC View
