x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,H D Devegowda,800,"462,625",50.8%,Janata Dal (Secular), AC View
2,2,H C Srikantaiah  Alias Annaiah,800,"272,320",29.9%,Indian National Congress, AC View
3,3,H N Nanjegowda,200,"86,940",9.6%,Janata Dal (United), AC View
4,4,Aijaz Ahmed Farooqui,200,"52,922",5.8%,Bahujan Samaj Party, AC View
5,5,Kovibabanna,200,"22,795",2.5%,Independent, AC View
6,6,Siddesh Gowda,200,"14,593",1.6%,Kannada Nadu Party, AC View
