x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Avinash Rai Khanna,1200,"289,815",44.2%,Bharatiya Janta Party, AC View
2,2,Comrade Darshan Singh Mattu,1200,"185,444",28.3%,Communist Party Of India (MARXIST), AC View
3,3,Charanjit Singh Channi,800,"156,270",23.8%,Bahujan Samaj Party, AC View
4,4,Ajeet Singh Parmar,200,"7,511",1.1%,Samajwadi Janata Party (RASHTRIYA), AC View
5,5,Kuldip Rai,200,"6,565",1.0%,Independent, AC View
6,6,Sadhu Singh Saini,200,"3,883",0.6%,Independent, AC View
7,7,Harmesh Lal Azad,200,"3,416",0.5%,Independent, AC View
8,8,Gurdev Singh,200,"2,787",0.4%,Bharatiya Gaon Taj Dal, AC View
