x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Basudeb Barman,3989,"440,862",48.7%,Communist Party Of India (MARXIST), AC View
2,2,Radhika Ranjan Pramanik,3989,"358,834",39.6%,All India Trinamool Congress, AC View
3,3,Monoranjan Haldar,134,"71,700",7.9%,Indian National Congress, AC View
4,4,Prahlad Kumar Purkait,85,"16,021",1.8%,Independent, AC View
5,5,Kansari Mondal,85,"12,601",1.4%,Bahujan Samaj Party, AC View
6,6,Mihir Kumar Naskar,77,"7,767",0.9%,Independent, AC View
