x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Barrister A. R. Antulay,19533,"312,225",39.4%,Indian National Congress, AC View
2,2,Vivek Patil,19533,"280,355",35.4%,Peasants And Workers Party Of India, AC View
3,3,Shyam Sawant,743,"164,242",20.7%,Shiv Sena, AC View
4,4,A. R. Antulay,128,"23,771",3.0%,Independent, AC View
5,5,Kundlik Namdeo Thore,110,"12,852",1.6%,Bahujan Samaj Party, AC View
