x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Panabaka Lakshmi,1400,"450,129",54.0%,Indian National Congress, AC View
2,2,Balakondaiah Karupotala,1400,"321,905",38.6%,Bharatiya Janta Party, AC View
3,3,Malakondaiah.Y,200,"36,085",4.3%,Samajwadi Party, AC View
4,4,Marlapati  Vemaiah,200,"9,395",1.1%,Bahujan Samaj Party, AC View
5,5,Venkata Ram Ravinuthala,200,"5,983",0.7%,Independent, AC View
6,6,Dava Penchala Rao,200,"3,884",0.5%,Independent, AC View
7,7,Mangalapuri Venkateswarlu,200,"3,421",0.4%,Bharatiya Republican Paksha, AC View
8,8,Ouruvuru Krishnaiah,200,"3,415",0.4%,Independent, AC View
9,9,Maddela Brahmanaidu,200,"2,285",0.3%,Independent, AC View
