x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dr.Manda Jagannath,2432,"405,046",45.9%,Telugu Desam, AC View
2,2,K.S.Ratnam,2432,"305,396",34.6%,Independent, AC View
3,3,P.Bhagavanthu,232,"119,813",13.6%,Independent, AC View
4,4,P. Lalaiah,105,"27,247",3.1%,Bahujan Samaj Party, AC View
5,5,Dr. G.Raghavulu,99,"25,848",2.9%,Independent, AC View
