x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Paranjape Prakash Vishvanath,119200,"631,414",48.1%,Shiv Sena, AC View
2,2,Davkhare Vasant Shankarrao,119200,"609,156",46.4%,Nationalist Congress Party, AC View
3,3,Pawar Sambhaji Maruti,200,"24,828",1.9%,Bahujan Samaj Party, AC View
4,4,Karmaveer Ramnarayan Yadav,200,"22,412",1.7%,Samajwadi Party, AC View
5,5,Vadhvinde Mahendra Keru,200,"11,658",0.9%,Independent, AC View
6,6,Ramsing Bootpolishwala,200,"3,894",0.3%,Independent, AC View
7,7,Dhotre Bhanudas Sakharam,200,"2,957",0.2%,Hindustan Janata Party, AC View
8,8,Landge Santosh Govind,200,"2,394",0.2%,Prabuddha Republican Party, AC View
9,9,Com. Arun Velaskar,200,"2,339",0.2%,Independent, AC View
10,10,Rajput Mangalsing Ukhardu,200,"2,200",0.2%,Independent, AC View
