x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,R.L. Jalappa,7562,"376,204",40.5%,Indian National Congress, AC View
2,2,Shashi Kumar,7562,"316,182",34.0%,Janata Dal (Secular), AC View
3,3,Ashok Krishnappa,669,"191,766",20.6%,Janata Dal (United), AC View
4,4,Suresh D R,117,"21,432",2.3%,Independent, AC View
5,5,Narayana Swamy D N ( KWALITY),107,"15,964",1.7%,Kannada Nadu Party, AC View
6,6,Veerappa,107,"9,580",1.0%,Independent, AC View
