x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Chandrabhan Bhaiya,1203,"271,869",46.0%,Bharatiya Janta Party, AC View
2,2,Tilak Singh Lodhi,1203,"177,274",30.0%,Indian National Congress, AC View
3,3,Kunvar Vijay Bahadur Singh Bundela,142,"40,241",6.8%,Samajwadi Party, AC View
4,4,Ramkishore Yadav,138,"37,147",6.3%,Bahujan Samaj Party, AC View
5,5,Anil Tiwari,120,"26,116",4.4%,Communist Party Of India, AC View
6,6,Makundiram Kushwaha,101,"14,230",2.4%,Independent, AC View
7,7,Dashrath Singh Lodhi,101,"13,117",2.2%,Gondvana Gantantra Party, AC View
8,8,Deo Raj Ahirwar,94,"6,868",1.2%,Independent, AC View
9,9,Ashok Bharti Suman,83,"4,356",0.7%,Independent, AC View
