x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mane Nivedita Sambhajirao,2000,"422,272",53.4%,Nationalist Congress Party, AC View
2,2,Dr. Patil Sanjay (DADA) SHAMRAO,2000,"321,223",40.6%,Shiv Sena, AC View
3,3,Kambale Sukumar Dattu,200,"20,155",2.6%,Bharipa Bahujan Mahasangh, AC View
4,4,Mane Sunita Arvind,200,"19,704",2.5%,Independent, AC View
5,5,Patil Sanjay Shamrao,200,"7,733",1.0%,Independent, AC View
