x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Gurudas Das Gupta,280,"541,513",62.1%,Communist Party Of India, AC View
2,2,Hema Choubey,280,"262,035",30.1%,All India Trinamool Congress, AC View
3,3,Nazim Ahmed,81,"71,006",8.1%,Indian National Congress, AC View
