x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dharavath  Ravinder Naik,77600,"427,601",46.4%,Telangana Rashtra Samithi, AC View
2,2,Bodakunti Venkateshwarlu,77600,"408,339",44.3%,Telugu Desam, AC View
3,3,Kondal Rao Ravulapelli,200,"19,080",2.1%,Pyramid Party Of India, AC View
4,4,Nallani Swami Rao,200,"16,424",1.8%,Independent, AC View
5,5,Mamidala Elia,200,"14,376",1.6%,Bahujan Samaj Party, AC View
6,6,Gade Jhansi,200,"9,619",1.0%,Independent, AC View
7,7,Upendar Reddy Vallepu,200,"7,080",0.8%,Marxist Communist Party Of India (S.S.SRIVASTAVA), AC View
8,8,Mumjala Bikshapathi,200,"6,930",0.8%,Independent, AC View
9,9,Indira Kallepelli,200,"6,829",0.7%,Independent, AC View
10,10,Bellaiah Tejavath,200,"5,594",0.6%,Independent, AC View
