x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kunnur Manjunath Channappa,1200,"442,759",51.2%,Bharatiya Janta Party, AC View
2,2,Prof. I G Sanadi,1200,"297,647",34.4%,Indian National Congress, AC View
3,3,Prema Sanganabasanagouda Patil,200,"76,555",8.9%,Janata Dal (Secular), AC View
4,4,Hosamani Mohamed Haneef Meerasab,200,"23,620",2.7%,Independent, AC View
5,5,Patil Shiddanagouda Siddalingappa Gouda,200,"12,339",1.4%,Kannada Nadu Party, AC View
6,6,Dr. Syed Roshan Mulla,200,"11,890",1.4%,Bahujan Samaj Party, AC View
