x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Kuldeep Bishnoi,40000,"290,936",33.4%,Indian National Congress, AC View
2,2,Surender Singh,40000,"266,532",30.6%,Haryana Vikas Party, AC View
3,3,Ajay Singh Chautala,9800,"241,958",27.8%,Indian National Lok Dal, AC View
4,4,Ram Bilas,200,"24,467",2.8%,Bharatiya Janta Party, AC View
5,5,Ramanand,200,"17,216",2.0%,Bahujan Samaj Party, AC View
6,6,Mange Ram,200,"5,638",0.6%,Independent, AC View
7,7,Surender,200,"4,855",0.6%,Independent, AC View
8,8,Sanjeev,200,"4,513",0.5%,Independent, AC View
9,9,Kuldeep,200,"4,450",0.5%,Independent, AC View
10,10,Mahender Singh,200,"2,977",0.3%,Samajwadi Party, AC View
11,11,Raj Devi Jangra,200,"1,950",0.2%,Independent, AC View
12,12,Bhal Singh,200,"1,826",0.2%,Independent, AC View
13,13,Devi Lal,200,"1,474",0.2%,Independent, AC View
14,14,Kaptan,200,891,0.1%,Lok Jan Shakti Party, AC View
15,15,Tapesh Bagati,200,846,0.1%,Independent, AC View
16,16,Mangal Singh,200,615,0.1%,Independent, AC View
