x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,"Senthil, Dr. R.",331,"397,540",56.2%,Pattali Makkal Katchi, AC View
2,2,Elangovan. P. D.,331,"181,450",25.6%,Bharatiya Janta Party, AC View
3,3,Munusamy (ALAIS) THAMILSELVAN. M,117,"62,960",8.9%,Janata Dal (United), AC View
4,4,Balasubramaniam. M,79,"23,553",3.3%,Tamil Desiyak Katchi, AC View
5,5,Jaganathan. V. P,74,"10,968",1.5%,Independent, AC View
6,6,Mahendran. D,74,"10,370",1.5%,Independent, AC View
7,7,Kannan Kaliru,67,"6,220",0.9%,Bahujan Samaj Party, AC View
8,8,Padmarajan. Dr. K,67,"5,161",0.7%,Independent, AC View
9,9,Bayas Ahamed. A. J,67,"3,085",0.4%,Independent, AC View
10,10,Murugan. R,67,"2,844",0.4%,Independent, AC View
11,11,Ayyappan. R,67,"2,178",0.3%,Independent, AC View
12,12,Senthil. K,67,"1,911",0.3%,Independent, AC View
13,13,Subramani. P,67,"1,751",0.2%,Independent, AC View
