x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Thangkabalu K. V.,586,"444,591",60.1%,Indian National Congress, AC View
2,2,Rajasekaran. A,586,"268,964",36.3%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Shah Jahan. M A,61,"8,466",1.1%,Independent, AC View
4,4,Jaya Venugopal. C D,61,"4,346",0.6%,Independent, AC View
5,5,Balakrishnan. N,61,"4,101",0.6%,Akhil Bharat Hindu Mahasabha, AC View
6,6,Rajavel. R,61,"3,916",0.5%,Jharkhand Party, AC View
7,7,Rajavel. M,61,"1,334",0.2%,Independent, AC View
8,8,Asraf Ali. Dr. A K,61,920,0.1%,Independent, AC View
9,9,Baskar. A,61,829,0.1%,Independent, AC View
10,10,Rathinam. P,61,747,0.1%,Independent, AC View
11,11,Basheer. J,61,690,0.1%,Independent, AC View
12,12,Gopal. K A,61,673,0.1%,Independent, AC View
13,13,Kannan. G A,61,660,0.1%,Independent, AC View
14,14,Selvam. K,61,611,0.1%,Independent, AC View
15,15,Syed Mohammed. M,61,589,0.1%,Independent, AC View
