x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sajjan Kumar,1697,"855,543",55.1%,Indian National Congress, AC View
2,2,Sahib Singh,1697,"631,753",40.7%,Bharatiya Janta Party, AC View
3,3,Bharat Bhushan Nagar,79,"33,495",2.2%,Bahujan Samaj Party, AC View
4,4,Sajjan Kumar,71,"4,052",0.3%,Independent, AC View
5,5,Amarjeet Kaur,71,"3,772",0.2%,Independent, AC View
6,6,Anil Bharti,71,"3,737",0.2%,Rashtravadi Janata Party, AC View
7,7,Swati Bhatnagar,71,"2,644",0.2%,Rashtriya Sawarn Dal, AC View
8,8,Kewal Kishan Virmani,71,"2,312",0.1%,Independent, AC View
9,9,Anil Gogia,71,"1,717",0.1%,Independent, AC View
10,10,Hafiz Ali,71,"1,644",0.1%,Independent, AC View
11,11,Sushma,71,"1,459",0.1%,Hind Morcha, AC View
12,12,Mohd. Salim Qureshi,71,"1,042",0.1%,Republican Party Of India (A), AC View
13,13,Surinder Mohan,71,966,0.1%,Independent, AC View
14,14,Vijay Kumar,71,942,0.1%,Jharkhand Party, AC View
15,15,Sunil Anand,71,867,0.1%,Independent, AC View
16,16,Abdul Majid,71,833,0.1%,Jai Hind Party, AC View
17,17,Rajesh Sharma,71,795,0.1%,Independent, AC View
18,18,Mahinder Singh Bhamrah,71,771,0.0%,Bharatiya Gaon Taj Dal, AC View
19,19,Jalim,71,679,0.0%,Labour Party (Secular), AC View
20,20,Ram Kumar Dabriwal,71,609,0.0%,Independent, AC View
21,21,Rajpal Sharma,71,552,0.0%,Manav Jagriti Manch, AC View
22,22,Ram Awadh,71,547,0.0%,Rashtriya Swabhimaan Party, AC View
23,23,Raghvinder Bakshi,71,545,0.0%,Independent, AC View
24,24,Ram Jatan,71,539,0.0%,Independent, AC View
25,25,Kiran Singh,71,534,0.0%,Rashtriya Vikas Party, AC View
26,26,Kaisar,71,513,0.0%,Navbharat Nirman Party, AC View
27,27,Nawab Singh,71,500,0.0%,Independent, AC View
28,28,Jag Mohan Kalia,71,487,0.0%,Rashtriya Janadhikar Party, AC View
