x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Vilasrao Baburaoji Muttemwar,2091,"373,769",47.2%,Indian National Congress, AC View
2,2,Atalbahadursingh,2091,"274,286",34.6%,Bharatiya Janta Party, AC View
3,3,Jayanta Anant Dalvi,145,"57,027",7.2%,Bahujan Samaj Party, AC View
4,4,Prakash Nimaje,119,"37,073",4.7%,Independent, AC View
5,5,Banwarilal Bhagwandas Purohit,107,"27,928",3.5%,Vidharbha Rajya Party, AC View
6,6,Dr. Banmala Golpelwar,83,"8,086",1.0%,Independent, AC View
7,7,Diwakar Dhondbaji Patne,83,"6,117",0.8%,Vidharbha Janata Congress, AC View
8,8,Diware Ramdas Rajeram,83,"2,520",0.3%,Independent, AC View
9,9,Rammurti Keshvrao Chimote,83,"1,550",0.2%,Gondvana Gantantra Party, AC View
10,10,Dr. K. H. Jambhulkar,83,"1,158",0.1%,Independent, AC View
11,11,Sanjay Saoji Deshpande,83,816,0.1%,Hindustan Janata Party, AC View
12,12,Iqbalsingh Hajarasingh Salhotra,83,811,0.1%,Independent, AC View
13,13,Hajare Bhajandas Dayaram,83,675,0.1%,Ambedkarist Republican Party, AC View
14,14,Kurve Siddartha Asaram,83,635,0.1%,Independent, AC View
