x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,"Kharventhan, S. K.",286,"448,900",64.7%,Indian National Congress, AC View
2,2,Kishore Kumar. K,286,"217,407",31.3%,All India Anna Dravida Munnetra Kazhagam, AC View
3,3,Jeyaprakash. P,55,"11,337",1.6%,Independent, AC View
4,4,Subramaniyam. T,55,"5,554",0.8%,Bahujan Samaj Party, AC View
5,5,Parameshvaran. S,55,"3,524",0.5%,Independent, AC View
6,6,Soundararajan. V S,55,"2,605",0.4%,Jharkhand Party, AC View
7,7,Abdul Hakkeem. A,55,"1,440",0.2%,Independent, AC View
8,8,Nagalingam. S,55,"1,411",0.2%,Independent, AC View
9,9,Thangapandi. R,55,"1,138",0.2%,Independent, AC View
10,10,Karunagaran. I,55,"1,078",0.2%,Independent, AC View
11,11,Chinnasamy. R,55,"1,048",0.2%,Independent, AC View
