x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Vinod Khanna,34400,"387,612",49.3%,Bharatiya Janta Party, AC View
2,2,Sukhbuns Kaur Bhinder,34400,"362,629",46.1%,Indian National Congress, AC View
3,3,Brij Mohan Julka,200,"16,651",2.1%,Bahujan Samaj Party, AC View
4,4,Balkar,200,"7,503",1.0%,Independent, AC View
5,5,Balkar Singh,200,"3,858",0.5%,Bharatiya Gaon Taj Dal, AC View
6,6,Devinder Singh Saini,200,"3,277",0.4%,Independent, AC View
7,7,Ramesh Kumar,200,"1,690",0.2%,Phule Bharti Lok Party, AC View
8,8,Neeraj Joshi,200,"1,645",0.2%,Independent, AC View
9,9,Kewal Krishan,200,969,0.1%,Independent, AC View
