x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Dr. Kathiria Vallabhbhai Ramjibhai,600,"320,604",59.5%,Bharatiya Janta Party, AC View
2,2,Balvantbhai Bachubhai Manvar,600,"176,634",32.8%,Nationalist Congress Party, AC View
3,3,Karanabhai Maldhari,200,"22,666",4.2%,Bahujan Samaj Party, AC View
4,4,Multani Subhanbhai Popatbhai,200,"12,819",2.4%,Independent, AC View
5,5,Dalabhai Raghavjibhai Loriya,200,"5,903",1.1%,Independent, AC View
