x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Surendra Prakash Goyal,10021,"235,114",29.4%,Indian National Congress, AC View
2,2,Ramesh Chand Tomar,10021,"192,751",24.1%,Bharatiya Janta Party, AC View
3,3,Kunwar Ayyub Ali,5763,"180,068",22.5%,Bahujan Samaj Party, AC View
4,4,Trilok Tyagi,4120,"170,710",21.3%,Rashtriya Lok Dal, AC View
5,5,Virendra Tyagi,164,"5,994",0.7%,Independent, AC View
6,6,Col. Tejendra Pal Tyagi Veer Chakra,150,"2,835",0.4%,Independent, AC View
7,7,Abdul Karim,150,"2,786",0.3%,Muslim League Kerala State Committee, AC View
8,8,Ram Kumar,150,"1,969",0.2%,Independent, AC View
9,9,Ranjeet,150,"1,947",0.2%,Independent, AC View
10,10,Manjeet Singh,150,"1,379",0.2%,Independent, AC View
11,11,Geeta Tomar . (advocate),150,"1,012",0.1%,Bahujan Kisan Dal, AC View
12,12,Dayaram  (HIJRA),150,929,0.1%,Independent, AC View
13,13,Dr. Mohd Iqbal,150,641,0.1%,Navbharat Nirman Party, AC View
14,14,Usman Quraishi,150,640,0.1%,Independent, AC View
15,15,Pradeep Kumar,150,487,0.1%,Indian Justice Party, AC View
16,16,Naveen Kumar Gautam,150,474,0.1%,Bharatiya Republican Paksha, AC View
