x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Sontosh Mohan Dev,26915,"246,215",40.5%,Indian National Congress, AC View
2,2,Kabindra Purkyastha,26915,"224,895",37.0%,Bharatiya Janta Party, AC View
3,3,Anwar Hussain Laskar,448,"99,820",16.4%,Samajwadi Party, AC View
4,4,Noorul Huda,136,"20,020",3.3%,Communist Party Of India (MARXIST), AC View
5,5,Samarendra Ghosh,99,"4,990",0.8%,Independent, AC View
6,6,Alok Sen,99,"4,517",0.7%,Samata Party, AC View
7,7,Benu Bhuson Nath,99,"1,720",0.3%,Independent, AC View
8,8,Ashutosh Das,99,"1,673",0.3%,Independent, AC View
9,9,Kantimoy Deb,99,"1,530",0.3%,Independent, AC View
10,10,Kshitindra Sarkar,99,"1,434",0.2%,Independent, AC View
11,11,Manoranjan Das,99,"1,419",0.2%,Independent, AC View
