x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Raghunath Jha,17144,"211,590",37.1%,Rashtriya Janata Dal, AC View
2,2,Madan Prasad Jaiswal,17144,"186,919",32.8%,Bharatiya Janta Party, AC View
3,3,Ramchandra Sahani,259,"47,841",8.4%,Communist Party Of India, AC View
4,4,Rajan Tiwari,203,"32,759",5.7%,Independent, AC View
5,5,Faiyazul Azam,200,"32,289",5.7%,Bahujan Samaj Party, AC View
6,6,Prakash Jha,181,"25,978",4.6%,Independent, AC View
7,7,Dharmesh Prasad Verma,124,"7,935",1.4%,Samajwadi Janata Party (RASHTRIYA), AC View
8,8,Virendra Prasad Gupta,124,"6,161",1.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
9,9,Akbar Husain,124,"5,714",1.0%,Independent, AC View
10,10,Nasim Ahmad,114,"4,151",0.7%,Samajwadi Party, AC View
11,11,Rahmat Ali,114,"3,537",0.6%,Independent, AC View
12,12,Nafis Ahmad,114,"2,059",0.4%,Independent, AC View
13,13,Diwakar Mani Tripathi,114,"1,538",0.3%,Independent, AC View
14,14,Krishn Nand Prasad,114,"1,438",0.3%,Independent, AC View
