x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Bachi Singh Rawat,"225,742",44.7%,Bharatiya Janta Party, AC View
2,2,Renuka Rawat,"215,690",42.7%,Indian National Congress, AC View
3,3,Kashi Singh Airy,"27,340",5.4%,Uttarakhand Kranti Dal, AC View
4,4,Guljar Khan,"8,681",1.7%,Rashtriya Swabhimaan Party, AC View
5,5,Radha Devi,"8,038",1.6%,Independent, AC View
6,6,Purushottam Sharma,"5,820",1.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION), AC View
7,7,Kaustubhanand,"5,528",1.1%,Independent, AC View
8,8,Chandra Singh Bisht,"4,650",0.9%,Samajwadi Party, AC View
9,9,Ratan Ram,"3,734",0.7%,Independent, AC View
