x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Maya Wati,4400,"325,019",43.8%,Bahujan Samaj Party, AC View
2,2,Shankh Lal Manjhi,4400,"266,750",36.0%,Samajwadi Party, AC View
3,3,Triveni Ram,200,"60,895",8.2%,Bharatiya Janta Party, AC View
4,4,Pushpa Kanaujia,200,"29,254",3.9%,Apna Dal, AC View
5,5,Jaisraj Gautam,200,"28,312",3.8%,Indian National Congress, AC View
6,6,Karuna Shankar,200,"11,108",1.5%,Independent, AC View
7,7,Shri Niwas,200,"5,419",0.7%,Suheldev Bhartiya Samaj Party, AC View
8,8,Ram Lal Rahi,200,"3,706",0.5%,Rashtriya Samanta Dal, AC View
9,9,Ram Niranjan,200,"3,164",0.4%,Manuvadi Party, AC View
10,10,Ram Laut,200,"3,016",0.4%,Rashtriya Swabhimaan Party, AC View
11,11,Asha Ram,200,"2,940",0.4%,Independent, AC View
12,12,Ram Pratap,200,"1,989",0.3%,Republican Party Of India, AC View
