x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Selja,400,"415,264",49.0%,Indian National Congress, AC View
2,2,Rattan Lal Kataria,400,"180,329",21.3%,Bharatiya Janta Party, AC View
3,3,Balwant Singh,200,"130,972",15.5%,Indian National Lok Dal, AC View
4,4,Chander Pal,200,"57,028",6.7%,Bahujan Samaj Party, AC View
5,5,Aman Kumar Nagra,200,"22,039",2.6%,Haryana Vikas Party, AC View
6,6,Ranbir Singh,200,"13,292",1.6%,Ekta Shakti, AC View
7,7,Sunil Kumar,200,"9,574",1.1%,Independent, AC View
8,8,Raunaq Singh,200,"7,324",0.9%,Independent, AC View
9,9,Jaswinder Singh,200,"3,477",0.4%,Independent, AC View
10,10,Hem Raj,200,"2,262",0.3%,Lok Jan Shakti Party, AC View
11,11,Arvind Kumar Sonkar,200,"2,224",0.3%,Akhil Bharat Hindu Mahasabha, AC View
12,12,Ram Sarup,200,"2,098",0.2%,Independent, AC View
13,13,Sanjeev Gharu,200,"1,842",0.2%,Samata Party, AC View
