x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Raman Singh,14000,"234,008",35.6%,Samajwadi Party, AC View
2,2,Dr. Murali Manohar Joshi,14000,"205,625",31.3%,Bharatiya Janta Party, AC View
3,3,R.K.Singh Patel,600,"111,576",17.0%,Bahujan Samaj Party, AC View
4,4,Satya Prakash Malviya,200,"40,545",6.2%,Indian National Congress, AC View
5,5,Raj Karan Bind,200,"25,426",3.9%,Apna Dal, AC View
6,6,Shyam Panday Urf Maula Baba,200,"7,755",1.2%,Independent, AC View
7,7,Rajendra Kumar Tiwari Urf Dukan Ji,200,"4,930",0.8%,Independent, AC View
8,8,Samar Bahadur Sharma,200,"3,820",0.6%,Independent, AC View
9,9,Manni Lal,200,"2,886",0.4%,Independent, AC View
10,10,Kailash Nath,200,"2,700",0.4%,Independent, AC View
11,11,Mohd Salman Rashidi,200,"2,696",0.4%,Independent, AC View
12,12,Hari Lal,200,"2,664",0.4%,Independent, AC View
13,13,Jagdeesh Kumar Rajpasi,200,"2,605",0.4%,Bharat Kranti Rakshak Party, AC View
14,14,Ram Pravesh Singh Kushwaha,200,"2,459",0.4%,Shoshit Samaj Dal, AC View
15,15,Raju Chaurasiya,200,"2,313",0.4%,Independent, AC View
16,16,Arvind Kumar Urf Panda,200,"1,253",0.2%,Independent, AC View
17,17,Amarnath,200,"1,199",0.2%,Independent, AC View
18,18,Brij Mohan Singh,200,"1,099",0.2%,Indian Justice Party, AC View
19,19,Ballabh Das Sharma,200,939,0.1%,Savarn Samaj Party, AC View
