x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,G.V. Harsha Kumar,7600,"350,346",49.9%,Indian National Congress, AC View
2,2,Dunna Janardhana Rao,7600,"308,861",44.0%,Telugu Desam, AC View
3,3,Muneeswara Rao Bhupati,200,"26,699",3.8%,Independent, AC View
4,4,Yalangi Ramesh,200,"9,550",1.4%,Independent, AC View
5,5,D. Muralikrishna,200,"8,768",1.2%,Bahujan Samaj Party, AC View
