"Position","Candidate Name","Votes","Votes %","Party"
1,Parvesh Sahib Singh Verma,651395,48.3%,Bharatiya Janta Party
2,Jarnail Singh,382809,28.4%,Aam Aadmi Party
3,Mahabal Mishra,193266,14.3%,Indian National Congress
4,Jarnail Singh,84722,6.3%,Independent
5,Raj Pal Singh,8707,0.6%,Bahujan Samaj Party
6,Jarnail Singh,5960,0.4%,Independent
7,Sunil Sourabh,3624,0.3%,Independent
8,Virender Mohan Vats,3078,0.2%,Independent
9,Babu Singh Dukhiya,1654,0.1%,Independent
10,Istak Khan,988,0.1%,Independent
11,Uday Kumar Singh Kushwaha,805,0.1%,Bahujan Mukti Party
12,Har Gobind Arora,703,0.1%,Shiv Sena
13,Dinesh Kumar Kushwaha,651,0.0%,Akhand Bharat Samaj Party
14,Rakesh Kumar,458,0.0%,Bhartiya Janta Dal (Integrated)
15,Charan Jeet Singh Khalsa,451,0.0%,All India Forward Bloc
16,Deepak Kumar,415,0.0%,Rashtriya Janadhikar Party
17,Karam Chand Lathwal,353,0.0%,Bhartiya Pragatisheel Congress
