"Position","Candidate Name","Votes","Votes %","Party"
1,Ravneet Singh Bittu,300459,27.3%,Indian National Congress
2,Harvinder Singh Phoolka,280750,25.5%,Aam Aadmi Party
3,Manpreet Singh Ayali,256590,23.3%,Shiromani Akali Dal
4,Simarjeet Singh Bains,210917,19.2%,Independent
5,Navjot Singh Mandair,8317,0.8%,Bahujan Samaj Party
6,Rajiv Kumar Kalra,4653,0.4%,Independent
7,Gurdeep Singh Kahlon,4509,0.4%,Independent
8,Sukhwinder Singh Sekhon,4167,0.4%,Communist Party Of India (MARXIST)
9,Simerjit Singh,3980,0.4%,Independent
10,Jaswinder Singh Bains,3238,0.3%,Independent
11,Navpreet Singh Bedi,3144,0.3%,Independent
12,Akshaybar Nath Mishra,2925,0.3%,Janata Dal (United)
13,Mohd. Naseem Ansari,1984,0.2%,New All India Congress Party
14,Tarsem Singh Banga,1934,0.2%,Independent
15,Jai Parkash Jain,1519,0.1%,Independent
16,Kishan Kumar Sharma,1483,0.1%,J & K National Panthers Party
17,Bittu,1286,0.1%,Republican Party Of India (A)
18,Hari Ram Sahni,1168,0.1%,All India Forward Bloc
19,Mohammad Maksood Ansari,1111,0.1%,Bahujan Mukti Party
20,Raj Kumar Atwal,1089,0.1%,Independent
21,Darshan Singh,1028,0.1%,Shiv Sena
22,Kulwinder Pal Singh,986,0.1%,Independent
