"Position","Candidate Name","Votes","Votes %","Party"
1,(DR.) SANJEEV KUMAR BALYAN,653391,59.0%,Bharatiya Janta Party
2,Kadir Rana,252241,22.8%,Bahujan Samaj Party
3,Virender Singh,160810,14.5%,Samajwadi Party
4,Pankaj Agarwal,12937,1.2%,Indian National Congress
5,Rajesh Devi Alias Radhika Baliyan,4129,0.4%,All India Trinamool Congress
6,Rakesh,3482,0.3%,Independent
7,Phool Singh Pal,3431,0.3%,Independent
8,Anil Kumar,2238,0.2%,Bahujan Mukti Party
9,Mohammed Yamin,1931,0.2%,Aam Aadmi Party
10,Shandar Gufran,1864,0.2%,Independent
11,Gufran Ahmad,1682,0.2%,Independent
12,Jagbir Singh,845,0.1%,Independent
13,Naseem Ahmad Ansari,750,0.1%,Independent
14,Ankur,723,0.1%,Independent
15,Mo. Yamin,543,0.0%,All India Ravidas Samata Party
16,Lalit Chauhan,499,0.0%,Janata Dal (United)
17,Shabnam,487,0.0%,Independent
18,Mange Ram Kashyap,362,0.0%,Majdoor Kisan Union Party
19,Chatar Singh Kashyap,350,0.0%,Vanchit Jamat Party
