"Position","Candidate Name","Votes","Votes %","Party"
1,Nagendra Kumar Pradhan,358618,36.4%,Biju Janata Dal
2,Suresh Pujari,328042,33.3%,Bharatiya Janta Party
3,Amarnath Pradhan,242131,24.6%,Indian National Congress
4,Nathu Ram,12211,1.2%,Bahujan Samaj Party
5,Ananda Kumar Samal,7029,0.7%,Aam Aadmi Party
6,Md. Ali Hussain,4763,0.5%,Independent
7,Prasadi Pradhan,4502,0.5%,Socialist Unity Centre Of India (COMMUNIST)
8,Ashok Panda,4018,0.4%,Independent
9,Dusmanta Kar,4012,0.4%,Independent
10,Shankarlal Agrawala,3110,0.3%,Proutist Bloc India
11,Tarani Bhoi,2559,0.3%,Paschimanchal Vikas Party
