"Position","Candidate Name","Votes","Votes %","Party"
1,Shatrughana Sinha,485905,55.1%,Bharatiya Janta Party
2,Kunal Singh,220100,24.9%,Indian National Congress
3,Dr.Gopal Prasad Sinha,91024,10.3%,Janata Dal (United)
4,Parveen Amanullah,16381,1.9%,Aam Aadmi Party
5,Umesh Kumar,10836,1.2%,Samajwadi Party
6,Ganesh Saw,9691,1.1%,Bahujan Samaj Party
7,Ganga Vishnu Prasad,8834,1.0%,Independent
8,Nand Kishore Singh,6057,0.7%,Independent
9,Shreekant Labh,3178,0.4%,Samajwadi Janata Party (RASHTRIYA)
10,Chandra Bhushan Prasad Chandravanshi,3015,0.3%,Bahujan Mukti Party
11,Kumar Rajiv,2914,0.3%,Independent
12,Dr. Rakesh Dutta Mishra,2687,0.3%,Bharatiya Jan Kranti Dal (Democratic)
13,Lal Bahadur Singh Patel,2502,0.3%,Krantikari Vikas Dal
14,Anil Kumar,2478,0.3%,Independent
15,Gajendra Kumar,2166,0.2%,Sankhyanupati Bhagidari Party
16,Parwez Ahmad,1856,0.2%,Loktantrik Janata Party (Secular)
17,Jauhar Azad,1834,0.2%,Janta Dal Rashtravadi
17,Shyam Nandan Prasad,1834,0.2%,Independent
19,Vijay Kumar Sahni,1243,0.1%,Independent
