"Position","Candidate Name","Votes","Votes %","Party"
1,C. R. Patil,820831,70.7%,Bharatiya Janta Party
2,Maksud Mirza,262715,22.6%,Indian National Congress
3,Mehul Patel,14299,1.2%,Aam Aadmi Party
4,Chauhan Kesavbhai Malabhai (MASTER),11240,1.0%,Bahujan Samaj Party
5,Lataben Ashokkumar Dwivedi,7560,0.7%,Independent
6,Saiyed Mehmud Ahmed,6069,0.5%,Independent
7,Rohit Gandhi,4267,0.4%,Independent
8,Aslam Mistry,3853,0.3%,Bharatiya Bahujan Congress
9,Hasan Shaikh,3510,0.3%,Independent
10,Ravshaheb Bhimrav Patil (BANDHU),2888,0.2%,Independent
11,Vimal Patel (ENDHAL),2739,0.2%,Independent
12,Percy Munshi,2235,0.2%,Independent
13,Warde Rajubhai Bhimrao,2156,0.2%,Bahujan Mukti Party
14,Ramjan Mansuri(JOURNALIST),1787,0.2%,Independent
15,Patel Bhupendrakumar Dhirubhai,1264,0.1%,Janata Dal (United)
16,Sonal Kellogg,1089,0.1%,Voters Party
17,Keshavji L. Saradva,1059,0.1%,Independent
18,Arun S. Pathak(JOURNALIST),1030,0.1%,Independent
19,Pyarelal Bharti,834,0.1%,Hindusthan Nirman Dal
