"Position","Candidate Name","Votes","Votes %","Party"
1,Dushyant Chautala,494478,42.8%,Indian National Lok Dal
2,Kuldeep Bishnoi,462631,40.0%,Haryana Janhit Congress (BL)
3,Sampat Singh,102509,8.9%,Indian National Congress
4,Mange Ram,30446,2.6%,Bahujan Samaj Party
5,Dr. Yudhbir Singh Khyalia,28490,2.5%,Aam Aadmi Party
6,Phul Singh,6533,0.6%,Communist Party Of India (MARXIST)
7,Kuldeep S/o Narain Singh,5251,0.5%,Independent
8,Kuldeep S/o Pardumn,2587,0.2%,Independent
9,Kuldeep S/o Karan Singh,1886,0.2%,Independent
10,Vijay Kumar Sharma,1788,0.2%,Independent
11,Dr. Rajesh Mahendia,1723,0.1%,Independent
12,Om Parkash,1471,0.1%,Bharatiya Sant Mat Party
13,Kuldeep S/o Ishwar Singh,1242,0.1%,Independent
14,Mamta Rani,1195,0.1%,Rashtrawadi Parivartan Party (L.B)
15,Kartar Singh,1143,0.1%,Independent
16,Vishnu Kumar,1048,0.1%,Independent
17,Kuldeep S/o Madan Lal,959,0.1%,Independent
18,Kuldeep Singh S/o Shishpal,705,0.1%,Bahujan Mukti Party
19,Sushil Kaushik,700,0.1%,Independent
20,Vikas,684,0.1%,Independent
21,Raj Singh,600,0.1%,Independent
22,Naresh Batra,587,0.1%,Independent
23,Ram Phal,463,0.0%,Independent
24,Shiv Kumar,447,0.0%,Independent
25,Narender,408,0.0%,Independent
26,Kuldeep S/o Sajjan,395,0.0%,Independent
27,Narinder Kumar,388,0.0%,Independent
28,Shravan Kumar Asija,371,0.0%,Independent
29,Satbir,363,0.0%,Independent
30,Umed Singh,342,0.0%,Independent
31,Arun Kumar,307,0.0%,Independent
32,Atam Parkash,300,0.0%,Independent
33,Sushil Nidhi,273,0.0%,Independent
34,Raj Kumar,255,0.0%,Independent
35,Hansraj,245,0.0%,Independent
36,Balwan Singh,213,0.0%,Independent
37,Baljeet,208,0.0%,Independent
38,Yudhvir,197,0.0%,Independent
39,Rakesh Kumar (RINKU BHAI),176,0.0%,Independent
40,Sunder,134,0.0%,Independent
41,Sita Ram,128,0.0%,Independent
