"Position","Candidate Name","Votes","Votes %","Party"
1,Gokaraju Ganga Raju,540306,49.6%,Bharatiya Janta Party
2,Vanka Ravindranath,454955,41.8%,Yuvajana Sramika Rythu Congress Party
3,Kanumuru Bapi Raju,27083,2.5%,Indian National Congress
4,Gitadas Das,23270,2.1%,Prem Janata Dal
5,Chintapalli Kanaka Rao,8489,0.8%,Bahujan Samaj Party
6,Saroja Polasapalli,6840,0.6%,Jai Samaikyandhra Party
7,Nalli Rajesh,6708,0.6%,Republican Paksha (Khoripa)
8,S.V.P.K.H.G.Krishnam Raju,4232,0.4%,Pyramid Party Of India
9,Shivaji Gottumukkala,2286,0.2%,Independent
10,Badampudi Siva,1605,0.1%,Independent
11,Addanki (SEKHAR BABU) DORABABU,1344,0.1%,Independent
12,Voleti Venkata Lakshmana Rao,1298,0.1%,Independent
13,Vangalapudi Yashyaa,1281,0.1%,Independent
14,Medapati Varahala Reddy,1250,0.1%,Independent
