"Position","Candidate Name","Votes","Votes %","Party"
1,Muzaffar Hussain Baig,175277,37.6%,Jammu & Kashmir Peoples Democratic Party
2,Sharief Ud-Din Shariq,146058,31.3%,Jammu & Kashmir National Conference
3,Salamuddin Bajad,71154,15.3%,Jammu & Kashmir People Conference
4,Er. Abdul Rashid Sheikh,22090,4.7%,Independent
5,Abdul Hussain,7301,1.6%,Independent
6,Ghulam Mohammad Mir,6558,1.4%,Bharatiya Janta Party
7,Tanveer Hussain,5788,1.2%,Independent
8,Ayaz Ahmad Sofi,5566,1.2%,Gareeb Aadmi Party
9,Syed Mohd Rafiq Shah,4141,0.9%,J & K National Panthers Party
10,Mohd Abdullah Chatwal,4006,0.9%,Independent
11,Ab. Hamid Malik,3655,0.8%,Independent
12,Mohd Shafi Bhat,3143,0.7%,Bahujan Samaj Party
13,Bashir Ahmad Jagal,2694,0.6%,Prism
14,Nisar Ahmad Ahanger,2050,0.4%,Independent
15,Ashiq Hussain Ganie,1943,0.4%,Independent
